epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7725,0.6063,3.49391,1.30345,0.92985,0.07676,0.30987,0.21421,0.95623,2.5631,1.60901,0.000272708,0.000272708,0.000272708
2,27.6962,0.51579,2.67894,1.21227,0.65452,0.40332,0.39494,0.25677,1.15945,2.32429,1.70229,0.000495888,0.000495888,0.000495888
3,33.4967,0.50762,2.39652,1.20536,0.39473,0.62448,0.48813,0.2872,1.22342,1.93019,1.75696,0.000664089,0.000664089,0.000664089
4,39.2806,0.48903,2.18402,1.19009,0.67455,0.51995,0.56534,0.37006,1.07738,2.18071,1.65495,0.000585599,0.000585599,0.000585599
5,45.0494,0.45365,1.98261,1.14669,0.76594,0.44705,0.4847,0.33472,1.1417,1.68827,1.66522,0.000503132,0.000503132,0.000503132
6,50.8193,0.43375,1.85166,1.13333,0.67969,0.62413,0.68162,0.49237,1.06563,1.35337,1.57556,0.000420665,0.000420665,0.000420665
7,56.5818,0.40584,1.7281,1.10887,0.87292,0.47944,0.69705,0.52208,1.01137,1.21563,1.43538,0.000338198,0.000338198,0.000338198
8,62.3378,0.38632,1.57488,1.08836,0.69242,0.60634,0.68163,0.53002,0.89955,1.07421,1.31891,0.000255731,0.000255731,0.000255731
9,68.1194,0.35657,1.51596,1.06384,0.746,0.66819,0.79147,0.60304,1.05705,1.04138,1.49342,0.000173264,0.000173264,0.000173264
10,73.8867,0.34783,1.42756,1.06498,0.65194,0.71593,0.79915,0.64058,0.94077,0.96881,1.3292,9.0797e-05,9.0797e-05,9.0797e-05
